model,question,answer,raw_confidence,response_time_ms,had_error
DynamicRAG-8B,How long does shipping take?,"it take for a standard delivery to arrive? Standard delivery at GreenTech Marketplace typically takes 5-7 business days, and it's free for orders over $75",0.008167740888893604,1422.5311279296875,False
DynamicRAG-8B,What are your customer service hours?,"haven't received my tracking number yet, what should I do? If you haven't received your tracking number 24 hours after placing your order, please get in",0.002035095589235425,1420.3879833221436,False
DynamicRAG-8B,Do you offer warranty on products?,"for other product categories, so feel free to",0.008002563379704952,1395.5011367797852,False
DynamicRAG-8B,How can I track my order?,"number. I just placed an order, but I need to make a change",0.004626496694982052,1288.8448238372803,False
DynamicRAG-8B,What is the CEO's phone number?,"hours after placing your order, please get in touch with our support team. They'll be able to provide you with your tracking number. What is",0.0030898896511644125,1392.519235610962,False
DynamicRAG-8B,Will you have a Black Friday sale?,Express shipping (2-3 business days) is available for an additional $15. All orders are shipped with tracking numbers,0.0038294128607958555,1339.8659229278564,False
DynamicRAG-8B,How do prices compare to Amazon?,"Is there a minimum order value for free shipping? Yes, we offer free standard shipping for orders over $75. How",0.006970974616706371,1292.4988269805908,False
DistilBERT-SQuAD,What is your return policy?,if I'm not satisfied with it,0.06497791409492493,327.2898197174072,False
DistilBERT-SQuAD,How long does shipping take?,5-7 business days,0.5354689657688141,31.234025955200195,False
DistilBERT-SQuAD,What are your customer service hours?,Monday through Friday from 9 AM to 6 PM EST,0.1377449408173561,30.039072036743164,False
DistilBERT-SQuAD,Do you offer warranty on products?,I'd like to return a product I received,0.02456856332719326,31.76116943359375,False
DistilBERT-SQuAD,How can I track my order?,contacting our support team,0.1420006901025772,30.310869216918945,False
DistilBERT-SQuAD,What is the CEO's phone number?,please get in touch with our support team,0.13086357712745667,31.2960147857666,False
DistilBERT-SQuAD,Will you have a Black Friday sale?,I'm unable to provide information about our sales projections for next month,0.10250664502382278,27.171850204467773,False
DistilBERT-SQuAD,How do prices compare to Amazon?,5-7 business days,0.2017936408519745,27.781963348388672,False
MiniLM-SQuAD,What is your return policy?,Absolutely!,0.08656546473503113,228.21593284606934,False
MiniLM-SQuAD,How long does shipping take?,5-7 business days,0.2551906923763454,34.98077392578125,False
MiniLM-SQuAD,What are your customer service hours?,Monday through Friday,0.3593887388706207,33.113718032836914,False
MiniLM-SQuAD,Do you offer warranty on products?,"Our solar panels come with a 3-year warranty to ensure you're covered for any manufacturing defects. However, the warranty may vary for other product categories",0.2313319593667984,34.74998474121094,False
MiniLM-SQuAD,How can I track my order?,modify my order,0.033216312527656555,32.305002212524414,False
MiniLM-SQuAD,What is the CEO's phone number?,get in touch with our support team,5.243493433226831e-06,31.792879104614258,False
MiniLM-SQuAD,Will you have a Black Friday sale?,next month,3.186214962624945e-05,32.855987548828125,False
MiniLM-SQuAD,How do prices compare to Amazon?,over $75,0.0013693543151021004,28.610944747924805,False
