model,question,answer,expected,is_answerable,raw_confidence,response_time_ms,accuracy,quality,confidence,speed,robustness
DistilBERT-SQuAD,How can I track my order?,contacting our support team,Use tracking number on our website,True,0.1420006901025772,30.310869216918945,0.054,0.189,0.142,0.985,1.0
DistilBERT-SQuAD,What is the CEO's phone number?,please get in touch with our support team,,False,0.1308635771274566,31.2960147857666,0.0,0.0,0.9,0.984,0.6
DistilBERT-SQuAD,Will you have a Black Friday sale?,I'm unable to provide information about our sales projections for next month,,False,0.1025066450238227,27.171850204467773,0.0,0.0,0.9,0.986,0.6
DistilBERT-SQuAD,How do prices compare to Amazon?,5-7 business days,,False,0.2017936408519745,27.781963348388672,0.0,0.0,0.9,0.986,0.6
MiniLM-SQuAD,What is your return policy?,Absolutely!,30-day return policy with full refund,True,0.0865654647350311,228.21593284606936,-0.217,0.0,0.087,0.886,1.0
MiniLM-SQuAD,How long does shipping take?,5-7 business days,Standard shipping takes 5-7 business days,True,0.2551906923763454,34.98077392578125,0.54,0.608,0.255,0.983,1.0
MiniLM-SQuAD,What are your customer service hours?,Monday through Friday,Monday to Friday 9am to 5pm,True,0.3593887388706207,33.113718032836914,0.534,0.822,0.359,0.983,1.0
MiniLM-SQuAD,Do you offer warranty on products?,"Our solar panels come with a 3-year warranty to ensure you're covered for any manufacturing defects. However, the warranty may vary for other product categories",1 year warranty on all electronics,True,0.2313319593667984,34.74998474121094,0.286,0.442,0.231,0.983,1.0
MiniLM-SQuAD,How can I track my order?,modify my order,Use tracking number on our website,True,0.0332163125276565,32.305002212524414,0.019,0.162,0.033,0.984,1.0
MiniLM-SQuAD,What is the CEO's phone number?,get in touch with our support team,,False,5.243493433226831e-06,31.792879104614254,0.0,0.0,0.9,0.984,0.6
MiniLM-SQuAD,Will you have a Black Friday sale?,next month,,False,3.186214962624945e-05,32.855987548828125,0.0,0.0,0.9,0.984,0.6
MiniLM-SQuAD,How do prices compare to Amazon?,over $75,,False,0.0013693543151021,28.610944747924805,0.0,0.0,0.9,0.986,0.6
