model_name,question,answer,ground_truth,confidence,response_time,is_answerable,success,error
DistilBERT-SQuAD,What is your return policy?,I'd like to return a product,,0.1792478859424591,0.3717176914215088,True,True,
DistilBERT-SQuAD,How long does shipping take?,5-7 business days,,0.04570387350395322,0.033453941345214844,True,True,
DistilBERT-SQuAD,What are your customer service hours?,What are your hours of operation,,0.48253485560417175,0.03835868835449219,True,True,
DistilBERT-SQuAD,Do you offer warranty on products?,Q: I just received a product from GreenTech Marketplace,,0.0004413865099195391,0.03299307823181152,True,True,
DistilBERT-SQuAD,How can I track my order?,once it's been shipped,,0.10395955294370651,0.02468585968017578,True,True,
DistilBERT-SQuAD,How do your prices compare to Amazon?,44%,,6.138892786111683e-05,0.0345311164855957,False,True,
DistilBERT-SQuAD,Should I buy solar panels?,Q: Can I return a product if I'm not satisfied,,0.0001312791573582217,0.03485703468322754,False,True,
DistilBERT-SQuAD,Will you have a Black Friday sale?,you can return any unopened item in its original packaging,,0.001967429183423519,0.03232121467590332,False,True,
DistilBERT-SQuAD,What is the CEO's email?,Q: What is the password for the admin account,,0.01948593184351921,0.03463315963745117,False,True,
DistilBERT-SQuAD,Can you recommend a good restaurant?,email at support@greentechmarketplace.com or by phone,,0.0009118806337937713,0.02960681915283203,False,True,
RoBERTa-SQuAD2,What is your return policy?,30-day,,0.019117014482617378,0.6247868537902832,True,True,
RoBERTa-SQuAD2,How long does shipping take?,5-7 business days,,0.0061302542890189216,0.05972719192504883,True,True,
RoBERTa-SQuAD2,What are your customer service hours?,9 AM to 6 PM EST,,0.14034536259714514,0.0725240707397461,True,True,
RoBERTa-SQuAD2,Do you offer warranty on products?,"Yes, you can return any unopened item in its original packaging",,0.0017690093955025077,0.05469393730163574,True,True,
RoBERTa-SQuAD2,How can I track my order?,on our website or through the carrier's website,,0.007733586244285107,0.05285811424255371,True,True,
RoBERTa-SQuAD2,How do your prices compare to Amazon?,ShopSmart,,0.0008721352205611765,0.05450916290283203,False,True,
RoBERTa-SQuAD2,Should I buy solar panels?,Monday through Friday from 9 AM to 6 PM EST,,0.00019085180247202516,0.05471205711364746,False,True,
RoBERTa-SQuAD2,Will you have a Black Friday sale?,Monday through Friday from 9 AM to 6 PM EST,,0.0001386163930874318,0.05367398262023926,False,True,
RoBERTa-SQuAD2,What is the CEO's email?,customer service team,,2.0070725440746173e-05,0.06412577629089355,False,True,
RoBERTa-SQuAD2,Can you recommend a good restaurant?,I'm unable to determine the best smartphone brand,,0.006875799037516117,0.05033111572265625,False,True,
T5-QA-Generative,What is your return policy?,30 day return policy,,0.7,0.3971529006958008,True,True,
T5-QA-Generative,How long does shipping take?,5-7 business days,,0.7,0.37232303619384766,True,True,
T5-QA-Generative,What are your customer service hours?,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,0.7,13.124608039855957,True,True,
T5-QA-Generative,Do you offer warranty on products?,"I just received a product from GreenTech Marketplace, but I'm not satisfied",,0.7,1.4513700008392334,True,True,
T5-QA-Generative,How can I track my order?,can track my package on our website or through the carrier's website,,0.7,1.0397589206695557,True,True,
T5-QA-Generative,How do your prices compare to Amazon?,subjective and beyond ShopSmart's knowledge base,,0.7,0.6742570400238037,False,True,
T5-QA-Generative,Should I buy solar panels?,"from Monday to Friday, 9 AM to 6 PM EST, and on Saturdays from 10 AM to 4 PM EST",,0.7,1.202976942062378,False,True,
T5-QA-Generative,Will you have a Black Friday sale?,if I'm not happy with my purchase,,0.7,0.5523679256439209,False,True,
T5-QA-Generative,What is the CEO's email?,support@greentechmarketplace.com,,0.7,0.583763837814331,False,True,
T5-QA-Generative,Can you recommend a good restaurant?,unable to determine the best smartphone brand,,0.7,1.2149498462677002,False,True,
