model,question,answer,ground_truth,is_answerable,exact_match,f1_score,semantic_similarity,confidence,response_time,success
RoBERTa-SQuAD2,Can you recommend a good restaurant?,I'm unable to determine the best smartphone brand,,False,0.0,0.0,0.0,0.006875799037516117,0.05375170707702637,True
BERT-Large-SQuAD,What is your return policy?,30 days of delivery for a full refund,,True,0.0,0.0,0.0,0.06190067529678345,2.4888291358947754,True
BERT-Large-SQuAD,How long does shipping take?,5-7 business days,,True,0.0,0.0,0.0,0.09810687322169542,0.19187092781066895,True
BERT-Large-SQuAD,What are your customer service hours?,from Monday to Friday,,True,0.0,0.0,0.0,0.07535968720912933,0.21568083763122559,True
BERT-Large-SQuAD,Do you offer warranty on products?,GreenTech Marketplace,,True,0.0,0.0,0.0,0.010152443312108517,0.19760894775390625,True
BERT-Large-SQuAD,How can I track my order?,once it's been shipped,,True,0.0,0.0,0.0,0.5730763673782349,0.1814260482788086,True
BERT-Large-SQuAD,How do your prices compare to Amazon?,ShopSmart,,False,0.0,0.0,0.0,0.004014234058558941,0.18239998817443848,True
BERT-Large-SQuAD,Should I buy solar panels?,Q: Can I return a product if I'm not satisfied,,False,0.0,0.0,0.0,0.0007000562036409974,0.2088160514831543,True
BERT-Large-SQuAD,Will you have a Black Friday sale?,Can I return it for a refund,,False,0.0,0.0,0.0,0.0557590126991272,0.18810391426086426,True
BERT-Large-SQuAD,What is the CEO's email?,RELEVANT INFORMATION,,False,0.0,0.0,0.0,0.01760259084403515,0.2221517562866211,True
BERT-Large-SQuAD,Can you recommend a good restaurant?,Q,,False,0.0,0.0,0.0,0.0025756246759556234,0.21070098876953125,True
DistilBERT-SQuAD,What is your return policy?,I'd like to return a product,,True,0.0,0.0,0.0,0.1792478859424591,0.3727138042449951,True
DistilBERT-SQuAD,How long does shipping take?,5-7 business days,,True,0.0,0.0,0.0,0.04570387350395322,0.035697221755981445,True
DistilBERT-SQuAD,What are your customer service hours?,What are your hours of operation,,True,0.0,0.0,0.0,0.48253485560417175,0.040910959243774414,True
DistilBERT-SQuAD,Do you offer warranty on products?,Q: I just received a product from GreenTech Marketplace,,True,0.0,0.0,0.0,0.0004413865099195391,0.035720109939575195,True
DistilBERT-SQuAD,How can I track my order?,once it's been shipped,,True,0.0,0.0,0.0,0.10395955294370651,0.025541305541992188,True
DistilBERT-SQuAD,How do your prices compare to Amazon?,44%,,False,0.0,0.0,0.0,6.138892786111683e-05,0.03458118438720703,True
DistilBERT-SQuAD,Should I buy solar panels?,Q: Can I return a product if I'm not satisfied,,False,0.0,0.0,0.0,0.0001312791573582217,0.030933141708374023,True
DistilBERT-SQuAD,Will you have a Black Friday sale?,you can return any unopened item in its original packaging,,False,0.0,0.0,0.0,0.001967429183423519,0.03875303268432617,True
DistilBERT-SQuAD,What is the CEO's email?,Q: What is the password for the admin account,,False,0.0,0.0,0.0,0.01948593184351921,0.03774595260620117,True
DistilBERT-SQuAD,Can you recommend a good restaurant?,email at support@greentechmarketplace.com or by phone,,False,0.0,0.0,0.0,0.0009118806337937713,0.036750078201293945,True
BERT-Tiny-SQuAD,What is your return policy?,I'd like to return a product,,True,0.0,0.0,0.0,0.0009573198622092605,0.006904125213623047,True
BERT-Tiny-SQuAD,How long does shipping take?,5-7 business days,,True,0.0,0.0,0.0,0.002556465333327651,0.0067479610443115234,True
BERT-Tiny-SQuAD,What are your customer service hours?,What,,True,0.0,0.0,0.0,0.013963115401566029,0.007107973098754883,True
BERT-Tiny-SQuAD,Do you offer warranty on products?,RELEVANT INFORMATION FROM KNOWLEDGE BASE,,True,0.0,0.0,0.0,0.0006658041966147721,0.0067059993743896484,True
BERT-Tiny-SQuAD,How can I track my order?,I,,True,0.0,0.0,0.0,0.005875853355973959,0.005894899368286133,True
BERT-Tiny-SQuAD,How do your prices compare to Amazon?,RELEVANT INFORMATION FROM KNOWLEDGE BASE,,False,0.0,0.0,0.0,0.00038548800512216985,0.00629878044128418,True
BERT-Tiny-SQuAD,Should I buy solar panels?,RELEVANT INFORMATION FROM KNOWLEDGE BASE,,False,0.0,0.0,0.0,0.0006284656119532883,0.006269931793212891,True
BERT-Tiny-SQuAD,Will you have a Black Friday sale?,RELEVANT INFORMATION FROM KNOWLEDGE BASE,,False,0.0,0.0,0.0,0.00022512937721330673,0.00700688362121582,True
BERT-Tiny-SQuAD,What is the CEO's email?,4 PM EST,,False,0.0,0.0,0.0,0.0008570021018385887,0.007064104080200195,True
BERT-Tiny-SQuAD,Can you recommend a good restaurant?,RELEVANT INFORMATION FROM KNOWLEDGE BASE,,False,0.0,0.0,0.0,0.0003772909985855222,0.00642085075378418,True
